taxonomy	sample_1	sample_2	sample_3	sample_4	sample_5	sample_6
Fungi;Basidiomycota;Agaricomycetes;Agaricales;Tricholomataceae;Hydropus	0	0	0	0	1	12
Fungi;Basidiomycota;Agaricomycetes;Agaricales;Tricholomataceae;Laccaria	0	0	0	0	7	2
Fungi;Basidiomycota;Agaricomycetes;Agaricales;Tricholomataceae;Lachnella	0	0	0	0	5	0
Fungi;Basidiomycota;Agaricomycetes;Agaricales;Tricholomataceae;Lepista	5	25	6	2	410	315
Fungi;Basidiomycota;Agaricomycetes;Agaricales;Tricholomataceae;Mycena	2	107	10	1	179	794
Fungi;Basidiomycota;Agaricomycetes;Agaricales;Tricholomataceae;Omphalina	0	5	0	0	0	0
Fungi;Basidiomycota;Agaricomycetes;Agaricales;Tricholomataceae;Other	0	11	1	0	46	223
Fungi;Basidiomycota;Agaricomycetes;Agaricales;Tricholomataceae;Rhodocollybia	0	40	1	0	39	94
Fungi;Basidiomycota;Agaricomycetes;Agaricales;Tricholomataceae;Tricholoma	7	19	1	0	67	208
Fungi;Basidiomycota;Agaricomycetes;Agaricales;Tricholomataceae;Xeromphalina	0	38	2	11	49	176
Fungi;Basidiomycota;Agaricomycetes;Agaricales;Tricholomataceae;unclassified_Tricholomataceae_genus	0	5	0	0	1	1
Fungi;Basidiomycota;Agaricomycetes;Agaricales;unclassified_Agaricales_family;unclassified_Agaricales_genus	0	0	0	0	4	7
Fungi;Basidiomycota;Agaricomycetes;Agaricomycetes_order_incertae_sedis;Agaricomycetes_family_incertae_sedis;Amylocorticium	0	10	0	1	2	0
Fungi;Basidiomycota;Agaricomycetes;Agaricomycetes_order_incertae_sedis;Agaricomycetes_family_incertae_sedis;Gloeophyllum	113	116	226	13	950	661
Fungi;Basidiomycota;Agaricomycetes;Agaricomycetes_order_incertae_sedis;Agaricomycetes_family_incertae_sedis;Trechispora	1	29	0	3	6	66
Fungi;Basidiomycota;Agaricomycetes;Agaricomycetes_order_incertae_sedis;Atheliaceae;Athelia	3	55	12	20	146	179
Fungi;Basidiomycota;Agaricomycetes;Agaricomycetes_order_incertae_sedis;Atheliaceae;Other	0	2	2	1	12	27
Fungi;Basidiomycota;Agaricomycetes;Agaricomycetes_order_incertae_sedis;Atheliaceae;Piloderma	3	42	4	4	5	81
Fungi;Basidiomycota;Agaricomycetes;Agaricomycetes_order_incertae_sedis;Atheliaceae;unclassified_Atheliaceae_genus	0	3	0	0	1	21
Fungi;Basidiomycota;Agaricomycetes;Agaricomycetes_order_incertae_sedis;Bondarzewiaceae;Heterobasidion	211	2592	142	1341	59	733
Fungi;Basidiomycota;Agaricomycetes;Agaricomycetes_order_incertae_sedis;Corticiaceae;Corticium	0	0	1	0	2	4
Fungi;Basidiomycota;Agaricomycetes;Agaricomycetes_order_incertae_sedis;Corticiaceae;Cylindrobasidium	177	37	678	1	3839	725
Fungi;Basidiomycota;Agaricomycetes;Agaricomycetes_order_incertae_sedis;Corticiaceae;Cystidiodontia	51	23	25	5	116	151
Fungi;Basidiomycota;Agaricomycetes;Agaricomycetes_order_incertae_sedis;Corticiaceae;Entomocorticium	266	2786	1157	63	5376	26099
Fungi;Basidiomycota;Agaricomycetes;Agaricomycetes_order_incertae_sedis;Corticiaceae;Erythricium	0	0	0	0	1	4
Fungi;Basidiomycota;Agaricomycetes;Agaricomycetes_order_incertae_sedis;Corticiaceae;Gloeohypochnicium	0	0	3	0	6	0
Fungi;Basidiomycota;Agaricomycetes;Agaricomycetes_order_incertae_sedis;Corticiaceae;Hyphoderma	8	15	14	2	365	227
Fungi;Basidiomycota;Agaricomycetes;Agaricomycetes_order_incertae_sedis;Corticiaceae;Hyphodontia	189	1929	112	280	1252	8006
Fungi;Basidiomycota;Agaricomycetes;Agaricomycetes_order_incertae_sedis;Corticiaceae;Hypochnicium	4	4	0	0	5	14
Fungi;Basidiomycota;Agaricomycetes;Agaricomycetes_order_incertae_sedis;Corticiaceae;Laetisaria	0	0	0	0	0	17
Fungi;Basidiomycota;Agaricomycetes;Agaricomycetes_order_incertae_sedis;Corticiaceae;Limonomyces	1	2	3	0	64	40
Fungi;Basidiomycota;Agaricomycetes;Agaricomycetes_order_incertae_sedis;Corticiaceae;Other	46	454	51	84	329	1456
Fungi;Basidiomycota;Agaricomycetes;Agaricomycetes_order_incertae_sedis;Corticiaceae;Phanerochaete	50	133	44	19	169	424
Fungi;Basidiomycota;Agaricomycetes;Agaricomycetes_order_incertae_sedis;Corticiaceae;Phlebia	18	137	17	17	146	1259
Fungi;Basidiomycota;Agaricomycetes;Agaricomycetes_order_incertae_sedis;Corticiaceae;Sistotrema	14	12	2	0	15	64
Fungi;Basidiomycota;Agaricomycetes;Agaricomycetes_order_incertae_sedis;Corticiaceae;Tubulicrinis	19	171	2	16	8	58
Fungi;Basidiomycota;Agaricomycetes;Agaricomycetes_order_incertae_sedis;Corticiaceae;unclassified_Corticiaceae_genus	17	147	35	51	559	776
Fungi;Basidiomycota;Agaricomycetes;Agaricomycetes_order_incertae_sedis;Hericiaceae;Hericium	0	0	0	2	10	81
Fungi;Basidiomycota;Agaricomycetes;Agaricomycetes_order_incertae_sedis;Meruliaceae;Bjerkandera	1235	392	840	68	4161	1021
Fungi;Basidiomycota;Agaricomycetes;Agaricomycetes_order_incertae_sedis;Meruliaceae;Ceriporiopsis	2	49	0	0	28	373
Fungi;Basidiomycota;Agaricomycetes;Agaricomycetes_order_incertae_sedis;Meruliaceae;Gloeoporus	0	5	0	0	12	20
Fungi;Basidiomycota;Agaricomycetes;Agaricomycetes_order_incertae_sedis;Meruliaceae;Other	2	3	0	0	7	6
Fungi;Basidiomycota;Agaricomycetes;Agaricomycetes_order_incertae_sedis;Other;Other	25	76	19	13	131	491
Fungi;Basidiomycota;Agaricomycetes;Agaricomycetes_order_incertae_sedis;Peniophoraceae;Other	3	7	6	2	14	34
Fungi;Basidiomycota;Agaricomycetes;Agaricomycetes_order_incertae_sedis;Peniophoraceae;Peniophora	102	174	173	7	457	426
Fungi;Basidiomycota;Agaricomycetes;Agaricomycetes_order_incertae_sedis;Punctulariaceae;Punctularia	92	512	65	204	16	76
Fungi;Basidiomycota;Agaricomycetes;Agaricomycetes_order_incertae_sedis;Punctulariaceae;Punctulariopsis	0	0	0	0	3	2
Fungi;Basidiomycota;Agaricomycetes;Agaricomycetes_order_incertae_sedis;Russulaceae;unclassified_Russulaceae_genus	29	83	237	0	3506	498
Fungi;Basidiomycota;Agaricomycetes;Agaricomycetes_order_incertae_sedis;Stereaceae;Amylostereum	9	144	3	23	1	175
Fungi;Basidiomycota;Agaricomycetes;Agaricomycetes_order_incertae_sedis;Stereaceae;Stereum	79	279	76	19	140	583
Fungi;Basidiomycota;Agaricomycetes;Agaricomycetes_order_incertae_sedis;Vuilleminiaceae;Vuilleminia	0	0	0	0	7	123
Fungi;Basidiomycota;Agaricomycetes;Auriculariales;Auriculariaceae;Auricularia	0	36	23	0	324	1078
Fungi;Basidiomycota;Agaricomycetes;Auriculariales;Auriculariales_family_incertae_sedis;Heterochaetella	0	5	0	0	2	7
Fungi;Basidiomycota;Agaricomycetes;Auriculariales;Exidiaceae;Ductifera	0	0	0	0	5	35
Fungi;Basidiomycota;Agaricomycetes;Auriculariales;Exidiaceae;Exidia	86	134	108	13	1721	3791
Fungi;Basidiomycota;Agaricomycetes;Auriculariales;Exidiaceae;Exidiopsis	0	11	2	0	2	23
Fungi;Basidiomycota;Agaricomycetes;Auriculariales;Exidiaceae;Other	12	14	6	1	152	70
Fungi;Basidiomycota;Agaricomycetes;Auriculariales;Hyaloriaceae;Myxarium	2	10	6	0	72	76
Fungi;Basidiomycota;Agaricomycetes;Auriculariales;Hyaloriaceae;Protodontia	0	8	1	2	0	3
Fungi;Basidiomycota;Agaricomycetes;Auriculariales;Hyaloriaceae;Pseudohydnum	0	0	0	0	1	3
Fungi;Basidiomycota;Agaricomycetes;Auriculariales;Other;Other	0	0	0	0	6	3
Fungi;Basidiomycota;Agaricomycetes;Boletales;Boletaceae;Chalciporus	0	2	0	0	4	0
Fungi;Basidiomycota;Agaricomycetes;Boletales;Boletaceae;Other	0	0	0	0	0	5
Fungi;Basidiomycota;Agaricomycetes;Boletales;Boletales_family_incertae_sedis;Hygrophoropsis	0	0	2	0	2	5
Fungi;Basidiomycota;Agaricomycetes;Boletales;Boletales_family_incertae_sedis;Leucogyrophana	61	23	48	17	79	71
Fungi;Basidiomycota;Agaricomycetes;Boletales;Boletales_family_incertae_sedis;Serpula	5	14	1	9	9	46
Fungi;Basidiomycota;Agaricomycetes;Boletales;Coniophoraceae;Coniophora	14	7	28	1	144	78
Fungi;Basidiomycota;Agaricomycetes;Boletales;Coniophoraceae;Meruliporia	0	0	0	0	0	4
Fungi;Basidiomycota;Agaricomycetes;Boletales;Melanogastraceae;Alpova	0	2	0	0	16	1
Fungi;Basidiomycota;Agaricomycetes;Boletales;Sclerodermataceae;Scleroderma	0	7	0	1	1	5
Fungi;Basidiomycota;Agaricomycetes;Boletales;Suillaceae;Suillus	12	47	9	8	37	42
Fungi;Basidiomycota;Agaricomycetes;Boletales;Tapinellaceae;Tapinella	9	11	1	1	52	90
Fungi;Basidiomycota;Agaricomycetes;Cantharellales;Botryobasidiaceae;Botryobasidium	9	30	10	15	44	222
Fungi;Basidiomycota;Agaricomycetes;Cantharellales;Ceratobasidiaceae;Ceratobasidium	0	34	12	9	463	829
Fungi;Basidiomycota;Agaricomycetes;Cantharellales;Ceratobasidiaceae;Heteroacanthella	0	0	0	0	0	4
Fungi;Basidiomycota;Agaricomycetes;Cantharellales;Ceratobasidiaceae;Other	0	3	2	7	33	153
Fungi;Basidiomycota;Agaricomycetes;Cantharellales;Ceratobasidiaceae;Thanatephorus	2	11	4	13	43	94
Fungi;Basidiomycota;Agaricomycetes;Cantharellales;Ceratobasidiaceae;Waitea	0	8	2	0	136	61
Fungi;Basidiomycota;Agaricomycetes;Cantharellales;Ceratobasidiaceae;unclassified_Ceratobasidiaceae_genus	0	1	3	0	19	13
Fungi;Basidiomycota;Agaricomycetes;Geastrales;Geastraceae;Geastrum	18	39	71	89	61	370
Fungi;Basidiomycota;Agaricomycetes;Geastrales;Geastraceae;Myriostoma	9	7	3	14	1	45
Fungi;Basidiomycota;Agaricomycetes;Hymenochaetales;Hymenochaetaceae;Fomitiporella	0	1	0	6	0	3
Fungi;Basidiomycota;Agaricomycetes;Hymenochaetales;Hymenochaetaceae;Fomitiporia	0	0	0	0	0	13
Fungi;Basidiomycota;Agaricomycetes;Hymenochaetales;Hymenochaetaceae;Fuscoporia	7	11	13	2	85	116
Fungi;Basidiomycota;Agaricomycetes;Hymenochaetales;Hymenochaetaceae;Hymenochaete	1	27	0	1	8	230
Fungi;Basidiomycota;Agaricomycetes;Hymenochaetales;Hymenochaetaceae;Inocutis	0	17	0	0	14	101
Fungi;Basidiomycota;Agaricomycetes;Hymenochaetales;Hymenochaetaceae;Inonotus	17	6	53	0	358	12
Fungi;Basidiomycota;Agaricomycetes;Hymenochaetales;Hymenochaetaceae;Other	1	20	0	1	11	87
Fungi;Basidiomycota;Agaricomycetes;Hymenochaetales;Hymenochaetaceae;Phaeolus	0	3	0	0	2	3
Fungi;Basidiomycota;Agaricomycetes;Hymenochaetales;Hymenochaetaceae;Pseudoinonotus	0	6	0	0	0	0
Fungi;Basidiomycota;Agaricomycetes;Hymenochaetales;Hymenochaetales_family_incertae_sedis;Resinicium	14	159	7	48	9	189
Fungi;Basidiomycota;Agaricomycetes;Hymenochaetales;unclassified_Hymenochaetales_family;unclassified_Hymenochaetales_genus	3	5	5	2	0	3
Fungi;Basidiomycota;Agaricomycetes;Other;Other;Other	492	668	512	86	5591	5170
Fungi;Basidiomycota;Agaricomycetes;Polyporales;Auriscalpiaceae;Lentinellus	0	6	0	1	2	29
Fungi;Basidiomycota;Agaricomycetes;Polyporales;Ganodermataceae;Ganoderma	272	478	546	311	412	520
Fungi;Basidiomycota;Agaricomycetes;Polyporales;Lachnocladiaceae;Asterostroma	0	6	0	0	6	54
Fungi;Basidiomycota;Agaricomycetes;Polyporales;Lachnocladiaceae;Scytinostroma	2	10	4	0	1	35
Fungi;Basidiomycota;Agaricomycetes;Polyporales;Lachnocladiaceae;unclassified_Lachnocladiaceae_genus	0	7	0	0	0	12
Fungi;Basidiomycota;Agaricomycetes;Polyporales;Lentinaceae;Lentinus	0	0	0	0	10	11
Fungi;Basidiomycota;Agaricomycetes;Polyporales;Other;Other	25	76	29	21	249	368
Fungi;Basidiomycota;Agaricomycetes;Polyporales;Polyporaceae;Bridgeoporus	0	23	0	0	0	6
Fungi;Basidiomycota;Agaricomycetes;Polyporales;Polyporaceae;Heliocybe	0	0	0	0	0	14
Fungi;Basidiomycota;Agaricomycetes;Polyporales;Polyporaceae;Other	0	0	0	0	12	1
Fungi;Basidiomycota;Agaricomycetes;Polyporales;Polyporaceae;Perenniporia	3	34	3	7	0	18
Fungi;Basidiomycota;Agaricomycetes;Polyporales;Polyporaceae;Physisporinus	1	15	3	2	25	51
Fungi;Basidiomycota;Agaricomycetes;Polyporales;Polyporaceae;Polyporus	14	35	12	14	173	332
Fungi;Basidiomycota;Agaricomycetes;Polyporales;Polyporaceae;Trichaptum	0	10	0	0	16	32
Fungi;Basidiomycota;Agaricomycetes;Polyporales;Polyporaceae;unclassified_Polyporaceae_genus	40	78	28	33	180	402
Fungi;Basidiomycota;Agaricomycetes;Polyporales;Polyporales_family_incertae_sedis;Antrodia	11	141	12	75	71	482
Fungi;Basidiomycota;Agaricomycetes;Polyporales;Polyporales_family_incertae_sedis;Antrodiella	0	4	0	4	2	2
Fungi;Basidiomycota;Agaricomycetes;Polyporales;Polyporales_family_incertae_sedis;Auriporia	0	2	0	0	0	3
Fungi;Basidiomycota;Agaricomycetes;Polyporales;Polyporales_family_incertae_sedis;Ceriporia	0	3	0	1	0	48
Fungi;Basidiomycota;Agaricomycetes;Polyporales;Polyporales_family_incertae_sedis;Coriolopsis	7	23	19	4	147	92
Fungi;Basidiomycota;Agaricomycetes;Polyporales;Polyporales_family_incertae_sedis;Fomitopsis	3	11	10	18	1	8
Fungi;Basidiomycota;Agaricomycetes;Polyporales;Polyporales_family_incertae_sedis;Laetiporus	1	0	0	0	10	1
Fungi;Basidiomycota;Agaricomycetes;Polyporales;Polyporales_family_incertae_sedis;Oligoporus	0	11	0	3	12	56
Fungi;Basidiomycota;Agaricomycetes;Polyporales;Polyporales_family_incertae_sedis;Other	400	2596	1146	3753	576	2853
Fungi;Basidiomycota;Agaricomycetes;Polyporales;Polyporales_family_incertae_sedis;Oxyporus	41	9	31	1	65	250
Fungi;Basidiomycota;Agaricomycetes;Polyporales;Polyporales_family_incertae_sedis;Phlebiopsis	6	2	8	3	20	14
Fungi;Basidiomycota;Agaricomycetes;Polyporales;Polyporales_family_incertae_sedis;Postia	1	0	4	0	0	8
Fungi;Basidiomycota;Agaricomycetes;Polyporales;Polyporales_family_incertae_sedis;Steccherinum	8	46	0	3	23	173
Fungi;Basidiomycota;Agaricomycetes;Polyporales;Polyporales_family_incertae_sedis;Tinctoporellus	0	0	0	0	4	7
Fungi;Basidiomycota;Agaricomycetes;Polyporales;Polyporales_family_incertae_sedis;Trametes	83	231	79	26	1379	252
Fungi;Basidiomycota;Agaricomycetes;Polyporales;Polyporales_family_incertae_sedis;Tyromyces	0	0	1	0	4	7
Fungi;Basidiomycota;Agaricomycetes;Polyporales;Polyporales_family_incertae_sedis;Wolfiporia	0	0	2	2	0	0
Fungi;Basidiomycota;Agaricomycetes;Polyporales;Pterulaceae;unclassified_Pterulaceae_genus	9	99	17	39	17	147
Fungi;Basidiomycota;Agaricomycetes;Polyporales;unclassified_Polyporales_family;unclassified_Polyporales_genus	10	67	7	51	24	100
Fungi;Basidiomycota;Agaricomycetes;Sebacinales;Sebacinaceae;Efibulobasidium	0	0	0	4	1	5
Fungi;Basidiomycota;Agaricomycetes;Sebacinales;Sebacinaceae;Sebacina	0	0	0	0	7	7
Fungi;Basidiomycota;Agaricomycetes;Thelephorales;Bankeraceae;Boletopsis	0	0	0	0	0	4
Fungi;Basidiomycota;Agaricomycetes;Thelephorales;Thelephoraceae;Other	0	0	3	0	0	1
Fungi;Basidiomycota;Agaricomycetes;Thelephorales;Thelephoraceae;Thelephora	1	4	2	0	2	29
Fungi;Basidiomycota;Agaricomycetes;Thelephorales;Thelephoraceae;Tomentella	2	17	4	19	8	52
Fungi;Basidiomycota;Agaricomycetes;Thelephorales;Thelephoraceae;Tomentellopsis	0	7	4	4	2	7
Fungi;Basidiomycota;Agaricomycetes;Thelephorales;Thelephoraceae;unclassified_Thelephoraceae_genus	5	5	7	2	4	39
Fungi;Basidiomycota;Agaricomycetes;Thelephorales;Typhulaceae;Typhula	0	1	0	0	34	71
Fungi;Basidiomycota;Agaricomycetes;unclassified_Agaricomycetes_order;unclassified_Agaricomycetes_family;unclassified_Agaricomycetes_genus	17	32	7	15	10	94
Fungi;Basidiomycota;Agaricostilbomycetes;Agaricostilbomycetes_order_incertae_sedis;Agaricostilbomycetes_family_incertae_sedis;Bensingtonia	41	36	30	10	126	138
Fungi;Basidiomycota;Agaricostilbomycetes;Agaricostilbomycetes_order_incertae_sedis;Agaricostilbomycetes_family_incertae_sedis;Kondoa	6	3	5	0	88	16
Fungi;Basidiomycota;Agaricostilbomycetes;Agaricostilbomycetes_order_incertae_sedis;Agaricostilbomycetes_family_incertae_sedis;Other	53	5	55	0	143	1
Fungi;Basidiomycota;Agaricostilbomycetes;Agaricostilbomycetes_order_incertae_sedis;Agaricostilbomycetes_family_incertae_sedis;Sporobolomyces	0	0	0	0	4	0
Fungi;Basidiomycota;Agaricostilbomycetes;Agaricostilbomycetes_order_incertae_sedis;Agaricostilbomycetes_family_incertae_sedis;Sterigmatomyces	10	1	0	0	3	0
Fungi;Basidiomycota;Basidiomycota_class_incertae_sedis;Basidiomycota_order_incertae_sedis;Basidiomycota_family_incertae_sedis;Curvibasidium	0	16	18	13	3	24
Fungi;Basidiomycota;Basidiomycota_class_incertae_sedis;Basidiomycota_order_incertae_sedis;Basidiomycota_family_incertae_sedis;Erythrobasidium	0	0	2	2	1	0
Fungi;Basidiomycota;Basidiomycota_class_incertae_sedis;Basidiomycota_order_incertae_sedis;Basidiomycota_family_incertae_sedis;Helicobasidium	0	1	3	8	1	2
Fungi;Basidiomycota;Basidiomycota_class_incertae_sedis;Basidiomycota_order_incertae_sedis;Basidiomycota_family_incertae_sedis;Marchandiomyces	0	1	0	0	22	19
Fungi;Basidiomycota;Basidiomycota_class_incertae_sedis;Basidiomycota_order_incertae_sedis;Basidiomycota_family_incertae_sedis;Occultifur	7	5	4	3	7	7
Fungi;Basidiomycota;Basidiomycota_class_incertae_sedis;Basidiomycota_order_incertae_sedis;Basidiomycota_family_incertae_sedis;Other	62	70	58	49	56	51
Fungi;Basidiomycota;Basidiomycota_class_incertae_sedis;Basidiomycota_order_incertae_sedis;Basidiomycota_family_incertae_sedis;Rhizoctonia	0	5	1	0	55	91
Fungi;Basidiomycota;Basidiomycota_class_incertae_sedis;Basidiomycota_order_incertae_sedis;Basidiomycota_family_incertae_sedis;Rhodotorula	127	142	82	123	99	181
Fungi;Basidiomycota;Basidiomycota_class_incertae_sedis;Basidiomycota_order_incertae_sedis;Basidiomycota_family_incertae_sedis;Sporobolomyces	206	227	295	116	1084	274
Fungi;Basidiomycota;Basidiomycota_class_incertae_sedis;Basidiomycota_order_incertae_sedis;Basidiomycota_family_incertae_sedis;Wallemia	158	224	80	81	76	113
Fungi;Basidiomycota;Basidiomycota_class_incertae_sedis;Entylomatales;Entylomataceae;Entyloma	32	23	63	1	222	86
Fungi;Basidiomycota;Basidiomycota_class_incertae_sedis;Entylomatales;Entylomataceae;Tilletiopsis	12	4	13	0	85	21
Fungi;Basidiomycota;Basidiomycota_class_incertae_sedis;Entylomatales;unclassified_Entylomatales_family;unclassified_Entylomatales_genus	140	75	180	4	513	34
Fungi;Basidiomycota;Basidiomycota_class_incertae_sedis;Georgefischeriales;Tilletiariaceae;Tilletiopsis	0	0	0	0	4	0
Fungi;Basidiomycota;Basidiomycota_class_incertae_sedis;Leucosporidiales;Leucosporidiales_family_incertae_sedis;Leucosporidiella	6	16	12	5	0	5
Fungi;Basidiomycota;Basidiomycota_class_incertae_sedis;Leucosporidiales;unclassified_Leucosporidiales_family;unclassified_Leucosporidiales_genus	0	2	1	1	2	0
Fungi;Basidiomycota;Basidiomycota_class_incertae_sedis;Malasseziales;Malasseziales_family_incertae_sedis;Malassezia	2	11	6	0	35	5
Fungi;Basidiomycota;Basidiomycota_class_incertae_sedis;Microbotryales;Microbotryaceae;Microbotryum	3	2	4	0	0	0
Fungi;Basidiomycota;Basidiomycota_class_incertae_sedis;Microstromatales;Microstromatales_family_incertae_sedis;Sympodiomycopsis	4	0	18	0	0	0
Fungi;Basidiomycota;Basidiomycota_class_incertae_sedis;Other;Other;Other	4	2	2	0	7	2
Fungi;Basidiomycota;Basidiomycota_class_incertae_sedis;Pucciniales;Cronartiaceae;Cronartium	0	3	2	17	7	6
Fungi;Basidiomycota;Basidiomycota_class_incertae_sedis;Pucciniales;Melampsoraceae;Melampsora	148	15	22	3	130	11
Fungi;Basidiomycota;Basidiomycota_class_incertae_sedis;Pucciniales;Other;Other	61	41	0	3	0	3
Fungi;Basidiomycota;Basidiomycota_class_incertae_sedis;Pucciniales;Pucciniaceae;Puccinia	165	86	56	16	112	7
Fungi;Basidiomycota;Basidiomycota_class_incertae_sedis;Pucciniales;Pucciniaceae;Uromyces	9	8	1	1	0	3
Fungi;Basidiomycota;Basidiomycota_class_incertae_sedis;Pucciniales;Pucciniastraceae;Melampsoridium	70	41	3	3	0	0
Fungi;Basidiomycota;Basidiomycota_class_incertae_sedis;Pucciniales;Pucciniastraceae;Pucciniastrum	2	14	13	0	13	0
Fungi;Basidiomycota;Basidiomycota_class_incertae_sedis;Septobasidiales;Septobasidiaceae;Septobasidium	3	3	4	6	7	13
Fungi;Basidiomycota;Basidiomycota_class_incertae_sedis;Sporidiobolales;Other;Other	63	33	32	43	24	22
Fungi;Basidiomycota;Basidiomycota_class_incertae_sedis;Sporidiobolales;Sporidiobolales_family_incertae_sedis;Other	44	92	105	35	87	48
Fungi;Basidiomycota;Basidiomycota_class_incertae_sedis;Sporidiobolales;Sporidiobolales_family_incertae_sedis;Rhodotorula	37	44	20	27	13	17
Fungi;Basidiomycota;Basidiomycota_class_incertae_sedis;Sporidiobolales;Sporidiobolales_family_incertae_sedis;Sporidiobolus	0	0	0	3	1	2
Fungi;Basidiomycota;Basidiomycota_class_incertae_sedis;Sporidiobolales;Sporidiobolales_family_incertae_sedis;Sporobolomyces	715	261	2370	34	1069	61
Fungi;Basidiomycota;Other;Other;Other;Other	20	49	83	12	5047	746
Fungi;Basidiomycota;Tremellomycetes;Cystofilobasidiales;Cystofilobasidiaceae;Cystofilobasidium	118	86	89	57	13	17
Fungi;Basidiomycota;Tremellomycetes;Cystofilobasidiales;Cystofilobasidiaceae;Xanthophyllomyces	20	0	0	0	0	0
Fungi;Basidiomycota;Tremellomycetes;Cystofilobasidiales;Cystofilobasidiales_family_incertae_sedis;Cryptococcus	0	0	0	0	0	4
Fungi;Basidiomycota;Tremellomycetes;Cystofilobasidiales;Cystofilobasidiales_family_incertae_sedis;Guehomyces	1	1	6	16	0	2
Fungi;Basidiomycota;Tremellomycetes;Cystofilobasidiales;Cystofilobasidiales_family_incertae_sedis;Udeniomyces	1443	443	3136	101	1444	197
Fungi;Basidiomycota;Tremellomycetes;Filobasidiales;Filobasidiales_family_incertae_sedis;Cryptococcus	2502	2022	1530	1330	1216	844
Fungi;Basidiomycota;Tremellomycetes;Other;Other;Other	46	72	26	32	13	21
Fungi;Basidiomycota;Tremellomycetes;Tremellales;Other;Other	15	27	25	17	44	42
Fungi;Basidiomycota;Tremellomycetes;Tremellales;Sirobasidiaceae;Fibulobasidium	0	0	0	0	1	7
Fungi;Basidiomycota;Tremellomycetes;Tremellales;Tremellaceae;Bulleromyces	18	22	60	14	19	3
Fungi;Basidiomycota;Tremellomycetes;Tremellales;Tremellaceae;Filobasidiella	1	2	4	0	0	2
Fungi;Basidiomycota;Tremellomycetes;Tremellales;Tremellaceae;Other	0	3	0	0	0	3
Fungi;Basidiomycota;Tremellomycetes;Tremellales;Tremellaceae;Tremella	23	33	22	15	3	45
Fungi;Basidiomycota;Tremellomycetes;Tremellales;Tremellales_family_incertae_sedis;Bullera	0	11	9	0	6	33
Fungi;Basidiomycota;Tremellomycetes;Tremellales;Tremellales_family_incertae_sedis;Cryptococcus	1098	1041	1313	726	492	428
Fungi;Basidiomycota;Tremellomycetes;Tremellales;Tremellales_family_incertae_sedis;Dioszegia	136	237	239	82	129	100
Fungi;Basidiomycota;Tremellomycetes;Tremellales;Tremellales_family_incertae_sedis;Fellomyces	6	1	0	0	7	0
Fungi;Basidiomycota;Tremellomycetes;Tremellales;Tremellales_family_incertae_sedis;Other	59	88	90	84	71	59
Fungi;Basidiomycota;Tremellomycetes;Tremellales;Tremellales_family_incertae_sedis;Trichosporon	53	20	39	26	17	9
Fungi;Basidiomycota;Tremellomycetes;Tremellales;unclassified_Tremellales_family;unclassified_Tremellales_genus	547	881	1081	289	1191	304
Fungi;Basidiomycota;Ustilaginomycetes;Urocystales;Urocystidaceae;Mundkurella	0	0	5	0	0	0
Fungi;Basidiomycota;Ustilaginomycetes;Ustilaginales;Ustilaginaceae;Other	114	109	270	126	8	41
Fungi;Basidiomycota;Ustilaginomycetes;Ustilaginales;Ustilaginaceae;Pseudozyma	204	317	175	99	181	119
Fungi;Basidiomycota;Ustilaginomycetes;Ustilaginales;Ustilaginaceae;Sporisorium	37	132	5	20	6	8
Fungi;Basidiomycota;Ustilaginomycetes;Ustilaginales;Ustilaginaceae;Tranzscheliella	8	8	0	7	2	10
Fungi;Basidiomycota;Ustilaginomycetes;Ustilaginales;Ustilaginaceae;Ustilago	625	236	253	204	30	55
Fungi;Basidiomycota;Ustilaginomycetes;Ustilaginales;Ustilaginales_family_incertae_sedis;Rhodotorula	3	12	0	0	0	7
Fungi;Basidiomycota;unclassified_Basidiomycota_class;unclassified_Basidiomycota_order;unclassified_Basidiomycota_family;unclassified_Basidiomycota_genus	318	82	188	26	823	615
Fungi;Chytridiomycota;Chytridiomycota_class_incertae_sedis;Chytridiales;Synchytriaceae;Synchytrium	0	0	0	0	7	0
Fungi;Chytridiomycota;Chytridiomycota_class_incertae_sedis;Spizellomycetales;Spizellomycetaceae;Kochiomyces	0	0	5	0	0	0
Fungi;Fungi_phylum_incertae_sedis;Fungi_class_incertae_sedis;Entomophthorales;Ancylistaceae;Conidiobolus	0	0	14	4	1	0
Fungi;Fungi_phylum_incertae_sedis;Fungi_class_incertae_sedis;Entomophthorales;Entomophthoraceae;Pandora	4	0	8	0	11	0
Fungi;Fungi_phylum_incertae_sedis;Fungi_class_incertae_sedis;Entomophthorales;Entomophthoraceae;Zoophthora	2	12	0	0	0	9
Fungi;Fungi_phylum_incertae_sedis;Fungi_class_incertae_sedis;Fungi_order_incertae_sedis;Olpidiaceae;Olpidium	0	0	8	0	0	0
Fungi;Fungi_phylum_incertae_sedis;Fungi_class_incertae_sedis;Mortierellales;Mortierellaceae;Mortierella	203	32	423	115	51	0
Fungi;Fungi_phylum_incertae_sedis;Fungi_class_incertae_sedis;Mortierellales;unclassified_Mortierellales_family;unclassified_Mortierellales_genus	0	0	8	2	0	0
Fungi;Fungi_phylum_incertae_sedis;Fungi_class_incertae_sedis;Mucorales;Choanephoraceae;Other	0	0	0	0	1	4
Fungi;Fungi_phylum_incertae_sedis;Fungi_class_incertae_sedis;Mucorales;Cunninghamellaceae;Cunninghamella	0	0	22	0	0	0
