taxonomy	sample_1	sample_2	sample_3	sample_4	sample_5	sample_6
Fungi;Ascomycota;Dothideomycetes;Pleosporales;Pleosporaceae;Stemphylium	10	1	0	1	0	1
Fungi;Ascomycota;Dothideomycetes;Pleosporales;Pleosporaceae;unclassified_Pleosporaceae_genus	237	325	146	123	296	298
Fungi;Ascomycota;Dothideomycetes;Pleosporales;Pleosporales_family_incertae_sedis;Ascochyta	26	15	6	3	10	5
Fungi;Ascomycota;Dothideomycetes;Pleosporales;Pleosporales_family_incertae_sedis;Corynespora	3	15	10	10	20	24
Fungi;Ascomycota;Dothideomycetes;Pleosporales;Pleosporales_family_incertae_sedis;Dictyosporium	0	0	0	4	0	0
Fungi;Ascomycota;Dothideomycetes;Pleosporales;Pleosporales_family_incertae_sedis;Leptosphaerulina	1362	1369	1435	1234	800	1592
Fungi;Ascomycota;Dothideomycetes;Pleosporales;Pleosporales_family_incertae_sedis;Other	186	217	375	204	569	134
Fungi;Ascomycota;Dothideomycetes;Pleosporales;Pleosporales_family_incertae_sedis;Phoma	33183	32565	23847	18558	16661	22877
Fungi;Ascomycota;Dothideomycetes;Pleosporales;Sporormiaceae;Preussia	184	153	152	151	56	102
Fungi;Ascomycota;Dothideomycetes;Pleosporales;Sporormiaceae;Westerdykella	1	0	2	2	4	0
Fungi;Ascomycota;Dothideomycetes;Pleosporales;unclassified_Pleosporales_family;unclassified_Pleosporales_genus	1375	1398	2233	955	3300	2830
Fungi;Ascomycota;Dothideomycetes;unclassified_Dothideomycetes_order;unclassified_Dothideomycetes_family;unclassified_Dothideomycetes_genus	239	144	321	130	122	173
Fungi;Ascomycota;Eurotiomycetes;Chaetothyriales;Chaetothyriales_family_incertae_sedis;Sarcinomyces	215	162	488	236	567	447
Fungi;Ascomycota;Eurotiomycetes;Chaetothyriales;Herpotrichiellaceae;Capronia	0	8	0	0	4	4
Fungi;Ascomycota;Eurotiomycetes;Chaetothyriales;Herpotrichiellaceae;Cladophialophora	10	24	60	11	20	91
Fungi;Ascomycota;Eurotiomycetes;Chaetothyriales;Herpotrichiellaceae;Cladoriella	1	3	0	0	0	1
Fungi;Ascomycota;Eurotiomycetes;Chaetothyriales;Herpotrichiellaceae;Cyphellophora	0	2	11	0	119	65
Fungi;Ascomycota;Eurotiomycetes;Chaetothyriales;Herpotrichiellaceae;Exophiala	25	33	38	41	22	67
Fungi;Ascomycota;Eurotiomycetes;Chaetothyriales;Herpotrichiellaceae;Other	10	29	9	20	21	64
Fungi;Ascomycota;Eurotiomycetes;Chaetothyriales;Herpotrichiellaceae;Phaeococcomyces	10	30	49	47	10	24
Fungi;Ascomycota;Eurotiomycetes;Chaetothyriales;Herpotrichiellaceae;unclassified_Herpotrichiellaceae_genus	5	4	41	13	8	21
Fungi;Ascomycota;Eurotiomycetes;Chaetothyriales;Other;Other	29	55	19	73	18	44
Fungi;Ascomycota;Eurotiomycetes;Chaetothyriales;unclassified_Chaetothyriales_family;unclassified_Chaetothyriales_genus	391	426	566	394	365	501
Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Elaphomycetaceae;Xeromyces	2	0	1	0	0	1
Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Other;Other	4	2	2	1	0	0
Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Trichocomaceae;Aspergillus	572	866	507	583	300	665
Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Trichocomaceae;Byssochlamys	2	21	7	3	1	9
Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Trichocomaceae;Emericella	58	145	57	101	24	151
Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Trichocomaceae;Eurotium	4130	3929	3784	2520	1771	3799
Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Trichocomaceae;Neosartorya	396	206	99	92	186	146
Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Trichocomaceae;Other	156	204	99	74	112	99
Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Trichocomaceae;Paecilomyces	1	0	1	2	4	5
Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Trichocomaceae;Penicillium	3186	4135	3747	3037	2625	3251
Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Trichocomaceae;Sagenomella	0	0	4	0	0	0
Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Trichocomaceae;Talaromyces	13	16	22	3	7	18
Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Trichocomaceae;Thermoascus	13	18	4	8	0	3
Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Trichocomaceae;Thysanophora	64	495	18	212	40	239
Fungi;Ascomycota;Eurotiomycetes;Onygenales;Arachnomycetaceae;Arachnomyces	0	5	0	7	0	1
Fungi;Ascomycota;Eurotiomycetes;Onygenales;Arthrodermataceae;Arthroderma	12	12	14	15	2	5
Fungi;Ascomycota;Eurotiomycetes;Onygenales;Arthrodermataceae;Other	2	0	1	1	1	0
Fungi;Ascomycota;Eurotiomycetes;Onygenales;Gymnoascaceae;Gymnoascoideus	3	1	0	9	0	NA
Fungi;Ascomycota;Eurotiomycetes;Onygenales;Gymnoascaceae;Gymnoascus	0	0	4	0	0	1
Fungi;Ascomycota;Eurotiomycetes;Onygenales;Gymnoascaceae;Other	1	1	3	12	0	3
Fungi;Ascomycota;Eurotiomycetes;Onygenales;Gymnoascaceae;unclassified_Gymnoascaceae_genus	4	5	6	6	0	2
Fungi;Ascomycota;Eurotiomycetes;Onygenales;Onygenaceae;Aphanoascus	7	0	0	0	0	0
Fungi;Ascomycota;Eurotiomycetes;Onygenales;Onygenaceae;Auxarthron	0	3	5	10	1	0
Fungi;Ascomycota;Eurotiomycetes;Onygenales;Onygenaceae;Spiromastix	0	5	3	0	0	0
Fungi;Ascomycota;Eurotiomycetes;Onygenales;Onygenales_family_incertae_sedis;Chrysosporium	37	55	35	40	27	48
Fungi;Ascomycota;Eurotiomycetes;Onygenales;Onygenales_family_incertae_sedis;Coccidioides	4	3	5	5	0	1
Fungi;Ascomycota;Eurotiomycetes;Onygenales;Onygenales_family_incertae_sedis;Emmonsia	0	0	11	0	0	0
Fungi;Ascomycota;Eurotiomycetes;Onygenales;Onygenales_family_incertae_sedis;Malbranchea	4	2	2	6	1	3
Fungi;Ascomycota;Eurotiomycetes;Onygenales;Onygenales_family_incertae_sedis;Other	12	15	32	1	3	7
Fungi;Ascomycota;Eurotiomycetes;Onygenales;Other;Other	68	106	64	57	20	53
Fungi;Ascomycota;Eurotiomycetes;Other;Other;Other	1	2	4	4	1	2
Fungi;Ascomycota;Eurotiomycetes;Verrucariales;Verrucariaceae;Catapyrenium	0	0	NA	0	0	4
Fungi;Ascomycota;Eurotiomycetes;Verrucariales;Verrucariaceae;Verrucaria	84	131	58	146	161	402
Fungi;Ascomycota;Lecanoromycetes;Acarosporales;Acarosporaceae;Acarospora	15	24	7	5	9	14
Fungi;Ascomycota;Lecanoromycetes;Acarosporales;Acarosporaceae;Other	0	15	0	3	21	17
